TeamName,TeamID,Formatted
new jersey devils,1,
new jersey,1,
devils,1,
nj,1,
new york islanders,2,
new york,2,
islanders,2,
isles,2,
nyi,2,
new york rangers,3,
new york,3,
rangers,3,
rags,3,
nyr,3,
philadelphia flyers,4,
philadelphia,4,
flyers,4,
philly,4,
phi,4,
pittsburgh penguins,5,
pittsburgh,5,
penguins,5,
pens,5,
pit,5,
boston bruins,6,
boston,6,
bruins,6,
bos,6,
buffalo sabres,7,
buffalo,7,
sabres,7,
buf,7,
montreal canadiens,8,
montreal,8,
canadiens,8,
habs,8,
mtl,8,
ottawa senators,9,
ottawa,9,
senators,9,
sens,9,
ott,9,
toronto maple leafs,10,
toronto,10,
maple leafs,10,
leafs,10,
tor,10,
tml,10,
carolina hurricanes,12,
carolina,12,
hurricanes,12,
canes,12,
car,12,
florida panthers,13,
florida,13,
panthers,13,
fla,13,
tampa bay lightning,14,
tampa bay,14,
lightning,14,
tb,14,
tbl,14,
washington capitals,15,
washington,15,
capitals,15,
caps,15,
was,15,
chicago blackhawks,16,
chicago,16,
blackhawks,16,
hawks,16,
chi,16,
detroit red wings,17,
detroit,17,
red wings,17,
wings,17,
det,17,
nashville predators,18,
nashville,18,
predators,18,
nas,18,
st louis blues,19,
st louis,19,
blues,19,
stl,19,
calgary flames,20,
calgary,20,
flames,20,
cgy,20,
colorado avalanche,21,
colorado,21,
avalanche,21,
avs,21,
col,21,
edmonton oilers,22,
edmonton,22,
oilers,22,
edm,22,
vancouver canucks,23,
vancouver,23,
canucks,23,
van,23,
anaheim ducks,24,
anaheim,24,
ducks,24,
ana,24,
dallas stars,25,
dallas,25,
stars,25,
dal,25,
los angeles kings,26,
los angeles,26,
kings,26,
la,26,
lak,26,
san jose sharks,28,
san jose,28,
sharks,28,
sj,28,
sjs,28,
columbus blue jackets,29,
columbus,29,
blue jackets,29,
jackets,29,
cbj,29,
minnesota wild,30,
minnesota,30,
wild,30,
min,30,
winnipeg jets,52,
winnipeg,52,
jets,52,
win,52,
arizona coyotes,53,
arizona,53,
coyotes,53,
arz,53,
vegas golden knights,54,
vegas,54,
golden knights,54,
knights,54,
veg,54,
vgk,54,
seattle kraken,55,
kraken,55,
seattle,55,
sea,55,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
New Jersey Devils,1,1
New York Islanders,2,1
New York Rangers,3,1
Philadelphia Flyers,4,1
Pittsburgh Penguins,5,1
Boston Bruins,6,1
Buffalo Sabres,7,1
Montreal Canadiens,8,1
Ottawa Senators,9,1
Toronto Maple Leafs,10,1
Carolina Hurricanes,12,1
Florida Panthers,13,1
Tampa Bay Lightning,14,1
Washington Capitals,15,1
Chicago Blackhawks,16,1
Detroit Red Wings,17,1
Nashville Predators,18,1
St. Louis Blues,19,1
Calgary Flames,20,1
Colorado Avalanche,21,1
Edmonton Oilers,22,1
Vancouver Canucks,23,1
Anaheim Ducks,24,1
Dallas Stars,25,1
Los Angeles Kings,26,1
San Jose Sharks,28,1
Columbus Blue Jackets,29,1
Minnesota Wild,30,1
Winnipeg Jets,52,1
Arizona Coyotes,53,1
Vegas Golden Knights,54,1
Seattle Kraken,55,1
